CHANCE REMAINING,تبقت محاولة واحدة
FAILED ATTEMPT,محاولة فاشلة
Submit,إرسال
Proceed,تابع
Please Try Again,حاول مرة أخرى، من فضلك
Log-Out,تسجيل الخروج
Take Survey,إملىء الاستبانة
Module,الوحدة
Question,سؤال
Result,النتيجة
Correct!!,إجابة صحيحة
That is incorrect (please try again),إجابة خاطئة حاول مرة أخرى
Failed Module,وحدة فاشلة
Failed Module. You answered the question incorrectly 2 times.,وحدة خاطئة. قمت بالاجابة إجابة خاطئة مرتين
You must complete the module within 10 minutes.,يتوجب عليك إكمال النموذج خلال دقيقتين
Congratulations. You have passed this module.,تهانينا! لقد نجحت في اجتياز هذا النموذج!
Congratulations. You have passed all modules!,تهانينا لقد نجحت في اجتياز كافة النماذج!
Please click here to download your certificate,اضغط هنا لتحميل شهادتك من فضلك.
