CHANCE REMAINING,ОСТАВА ВИ ОЩЕ ЕДНА ВЪЗМОЖНОСТ
FAILED ATTEMPT,ОПИТЪТ Е НЕУСПЕШЕН
Submit,Изпрати
Proceed,Продължи
Please Try Again,"Моля, опитайте отново"
Log-Out,Отписване
Take Survey,Участвайте в допитването
Module,Модул
Question,Въпрос
Result,Резултат
Correct!!,Вярно!!
That is incorrect (please try again),"Това е грешно (моля, опитайте отново)"
Failed Module,Модулът не е проминат
Failed Module. You answered the question incorrectly 2 times.,Модулът не е преминат. Отговорихте 2 пъти погрешно на въпроса.
You must complete the module within 10 minutes.,Трябва да завършите модула за 10 минути.
Congratulations. You have passed this module.,Поздравления. Успешно преминахте този модул.
Congratulations. You have passed all modules!,Поздравления. Успешно преминахте през всички модули!
Please click here to download your certificate,"Моля, кликнете тук, за да изтеглите Вашия сертификат."
