CHANCE REMAINING,ZBÝVAJÍCÍ ŠANCE
FAILED ATTEMPT,NEÚSPĚŠNÝ POKUS
Submit,PŘEDLOŽ
Proceed,POKRAČUJ
Please Try Again,Prosím zkus znova
Log-Out,Odhlásení
Take Survey,Udělaj průzkum
Module,Modul
Question,Otázka
Result,Výsledek
Correct!!,Správně!!
That is incorrect (please try again),Je to nesprávně (prosím zkus znova)
Failed Module,Neúspěšný Modul
Failed Module. You answered the question incorrectly 2 times.,Neúspěšný Modul. 2 krát jsi odpověděl na otázku nesprávně.
You must complete the module within 10 minutes.,Musíš vyplnit modul za 10 minut.
Congratulations. You have passed this module.,Gratulace. Prošel jsi tímto modulem
Congratulations. You have passed all modules!,Gratulace. Prošel jsi všemi moduly.
Please click here to download your certificate,Pro stažení svého certifikátu prosím klikni tu.
