CHANCE REMAINING,"CHANCEN"
FAILED ATTEMPT,"VERSUCH FEHLGESCHLAGEN"
Submit,"Einreichen"
Proceed,"Vorgehen"
Please Try Again,"Bitte versuche es erneut"
Log-Out,"Ausloggen"
Take Survey,"Umfrage"
Module,"Modul"
Question,"Frage"
Result,"Ergebnis"
Correct!!,"Richtig!!"
That is incorrect (please try again),"Das ist falsch (bitte nochmal versuchen)"
Failed Module,"Fehlgeschlagenes Modul"
Failed Module. You answered the question incorrectly 2 times.,"Fehlgeschlagenes Modul. Sie haben die Frage zweimal falsch beantwortet."
You must complete the module within 10 minutes.,"Sie müssen das Modul innerhalb von 10 Minuten abschließen."
Congratulations. You have passed this module.,"Herzliche Glückwünsche. Sie haben dieses Modul bestanden."
Congratulations. You have passed all modules!,"Herzliche Glückwünsche. Sie haben alle Module bestanden!"
Please click here to download your certificate,"Klicken Sie hier, um Ihr Zertifikat herunterzuladen"
