CHANCE REMAINING,"ΠΑΡΑΜΕΝΩΝ"
FAILED ATTEMPT,"ΑΠΟΤΥΧΗΜΕΝΗ ΠΡΟΣΠΑΘΕΙΑ"
Submit,"υποβάλλουν"
Proceed,"Προχωρώ"
Please Try Again,"Δοκιμάστε ξανά"
Log-Out,"Αποσυνδέση"
Take Survey,"Πάρτε την έρευνα"
Module,"Ενότητα"
Question,"Ερώτηση"
Result,"Αποτέλεσμα"
Correct!!,"Σωστός!!"
That is incorrect (please try again),"Αυτό είναι λανθασμένο (δοκιμάστε ξανά)"
Failed Module,"Αποτυχημένη ενότητα"
Failed Module. You answered the question incorrectly 2 times.,"Αποτυχημένη ενότητα. Απαντήσατε εσφαλμένα 2 φορές στην ερώτηση."
You must complete the module within 10 minutes.,"Πρέπει να ολοκληρώσετε την ενότητα εντός 10 λεπτών."
Congratulations. You have passed this module.,"Συγχαρητήρια. Έχετε περάσει αυτή την ενότητα."
Congratulations. You have passed all modules!,"Συγχαρητήρια. Έχετε περάσει όλες τις ενότητες!"
Please click here to download your certificate,"Κάντε κλικ εδώ για να κατεβάσετε το πιστοποιητικό σας"
