CHANCE REMAINING,FENNTARTÁS MÓDOSÍTÁSA
FAILED ATTEMPT,SIKERTELEN PRÓBÁLKOZÁS
Submit,Beküldés
Proceed,Folytassa
Please Try Again,Kérlek próbáld újra
Log-Out,Kijelentkezés
Take Survey,Kérdőívet kitölteni
Module,modul
Question,Kérdés
Result,Eredmény
Correct!!,Helyes!!
That is incorrect (please try again),Ez helytelen (próbálkozzon újra)
Failed Module,Sikertelen modul
Failed Module. You answered the question incorrectly 2 times.,Sikertelen modul. Kétszer helytelenül válaszoltál a kérdésre.
You must complete the module within 10 minutes.,A modult 10 percen belül be kell fejeznie.
Congratulations. You have passed this module.,Gratulálunk. Ön letette ezt a modult.
Congratulations. You have passed all modules!,Gratulálunk. Az összes modult teljesítette!
Please click here to download your certificate,Kattintson ide a tanúsítvány letöltéséhez
