CHANCE REMAINING,Atlikusī iespēja
FAILED ATTEMPT,Neveiksmīgs mēģinājums
Submit,Iesniegt
Proceed,Turpināt
Please Try Again,"Lūdzu, mēģiniet vēlreiz"
Log-Out,Iziet
Take Survey,Piedalīties aptaujā
Module,Modulis
Question,Jautājums
Result,Rezultāts
Correct!!,Pareizi!
That is incorrect (please try again),"Nepareizi (lūdzu, mēģiniet vēlreiz)"
Failed Module,Nesekmīgs modulis
Failed Module. You answered the question incorrectly 2 times.,Nesekmīgs modulis. Jūs 2 reizes atbildējāt uz jautājumu nepareizi.
You must complete the module within 10 minutes.,Modulis ir jāizpilda 10 minūšu laikā.
Congratulations. You have passed this module.,Apsveicam. Jūs esat nokārtojis šo moduli.
Congratulations. You have passed all modules!,Apsveicam. Jūs esat nokārtojis visus moduļus!
Please click here to download your certificate,"Lūdzu, noklikšķiniet šeit, lai lejupielādētu savu sertifikātu."
