CHANCE REMAINING,LIKĘS BANDYMAS
FAILED ATTEMPT,NESĖKMINGAS BANDYMAS
Submit,Pateikti
Proceed,Tęsti
Please Try Again,Prašome bandyti dar kartą
Log-Out,Atsijungti
Take Survey,Apklausa
Module,Modulis
Question,Klausimas
Result,Rezultatas
Correct!!,Teisinga!!
That is incorrect (please try again),"Neteisinga, bandykite dar kartą"
Failed Module,Modulis neišlaikytas
Failed Module. You answered the question incorrectly 2 times.,Modulis neišlaikytas. Neteisingai atsakėte du kartus į tą patį klausimą.
You must complete the module within 10 minutes.,Privalote pabaigti šį modulį per 10 minučių.
Congratulations. You have passed this module.,Sveikiname. Jūs išlaikėte šį modulį.
Congratulations. You have passed all modules!,Sveikiname. Jūs išlaikėte visus modulius!
Please click here to download your certificate,Paspauskite čia norėdami atsisiųsti sertifikatą
