CHANCE REMAINING,SANSE RAMASE
FAILED ATTEMPT,INCERCARI ESUATE
Submit,Trimite
Proceed,Continua
Please Try Again,Te rog incearca din nou
Log-Out,Deconecteaza-te
Take Survey,Prticipa la sondaj
Module,Modul
Question,Intrebare
Result,Rezultat
Correct!!,Corect!
That is incorrect (please try again),Este incorect (te rog incearca din nou)
Failed Module,Modul esuat
Failed Module. You answered the question incorrectly 2 times.,Modul esuat. Ai raspuns incorect de 2 ori
You must complete the module within 10 minutes.,Trebuie sa completezi modulul in 10 minute.
Congratulations. You have passed this module.,Felicitari! Ai trecut de acest modul.
Congratulations. You have passed all modules!,Felicitari! Ai trecut de toate modulele.
Please click here to download your certificate,Te rog da click aici pentru a descarca certificatul tau.
