CHANCE REMAINING,Шансов осталось
FAILED ATTEMPT,Неудачная попытка
Submit,Подать
Proceed,Продолжить
Please Try Again,"Пожалуйста, попробуйте еще раз"
Log-Out,Выйти
Take Survey,Участвовать в опросе
Module,Модуль
Question,Вопрос
Result,Результат
Correct!!,Правильно!
That is incorrect (please try again),"Не правильно (пожалуйста, попробуйте еще раз)"
Failed Module,Проваленый модуль
Failed Module. You answered the question incorrectly 2 times.,Проваленый модуль. Вы ответили неправильно на 2 вопроса
You must complete the module within 10 minutes.,Модуль нужно выполнить за 10 минут
Congratulations. You have passed this module.,Поздравляем! Вы сдали этот модуль.
Congratulations. You have passed all modules!,Поздравляем! Вы сдали все модули.
Please click here to download your certificate,"Пожалуйста, нажмите здесь, чтобы скачать свой сертификат."
