CHANCE REMAINING,ZOSTÁVAJÚCA ŠANCA
FAILED ATTEMPT,NEÚSPEŠNÝ POKUS
Submit,Predlož
Proceed,Pokračuj
Please Try Again,Prosím skús znova
Log-Out,Odhlásenie
Take Survey,Urob prieskum
Module,Modul
Question,Otázka
Result,Výsledok
Correct!!,Správne!!
That is incorrect (please try again),Je to nesprávne (prosím skús znova)
Failed Module,Neúspešný Modul
Failed Module. You answered the question incorrectly 2 times.,Neúspešný Modul. 2 krát si odpovedal na otázku nesprávne.
You must complete the module within 10 minutes.,Musíš vyplniť modul za 10 minút.
Congratulations. You have passed this module.,Gratulácia. Prešiel si týmto modulom.
Congratulations. You have passed all modules!,Gratulácia. Prešiel si všetkými modulmi!
Please click here to download your certificate,Pre stiahnutie svojho certifikátu prosím klikni tu
