CHANCE REMAINING,ШАНС ЗАЛИШається
FAILED ATTEMPT,НЕВДАЛА СПРОБА
Submit,Подати
Proceed,Продовжуйте
Please Try Again,Будь ласка спробуйте ще раз
Log-Out,Вийти
Take Survey,Пройдіть опитування
Module,Модуль
Question,Питання
Result,Результат
Correct!!,Правильно!!
That is incorrect (please try again),Неправильно. Спробуйте ще раз.
Failed Module,Помилка модуля
Failed Module. You answered the question incorrectly 2 times.,Помилка модуля. Ви 2 рази неправильно відповіли на запитання.
You must complete the module within 10 minutes.,Ви повинні завершити модуль протягом 10 хвилин.
Congratulations. You have passed this module.,Вітаю. Ви пройшли цей модуль.
Congratulations. You have passed all modules!,Вітаю. Ви пройшли всі модулі!
Please click here to download your certificate,Натисніть тут, щоб завантажити свій сертифікат
