CHANCE REMAINING,"BỎ LỠ CƠ HỘI"
FAILED ATTEMPT,"THẤT BẠI"
Submit,"Nộp"
Proceed,"Tiếp tục"
Please Try Again,"Vui lòng thử lại"
Log-Out,"Đăng xuất"
Take Survey,"Tham gia khảo sát"
Module,"Mô-đun"
Question,"Câu hỏi"
Result,"Kết quả"
Correct!!,"Chính xác!!"
That is incorrect (please try again),"Sai, thử lại."
Failed Module,"Mô-đun không thành công"
Failed Module. You answered the question incorrectly 2 times.,"Mô-đun không thành công. Bạn đã trả lời câu hỏi sai 2 lần."
You must complete the module within 10 minutes.,"Bạn phải hoàn thành mô-đun trong vòng 10 phút."
Congratulations. You have passed this module.,"Xin chúc mừng. Bạn đã vượt qua học phần này."
Congratulations. You have passed all modules!,"Xin chúc mừng. Bạn đã vượt qua tất cả các học phần!"
Please click here to download your certificate,"Vui lòng nhấp vào đây để tải xuống chứng chỉ của bạn"
