CHANCE REMAINING,NEWID YN GWEDDILL
FAILED ATTEMPT,ATTEMPT METHU
Submit,Cyflwyno
Proceed,Ewch ymlaen
Please Try Again,Trio eto os gwelwch yn dda
Log-Out,Allgofnodi
Take Survey,Cymerwch Arolwg
Module,Modiwl
Question,Cwestiwn
Result,Canlyniad
Correct!!,Cywir !!
That is incorrect (please try again),Mae hynny'n anghywir (ceisiwch eto)
Failed Module,Modiwl Methwyd
Failed Module. You answered the question incorrectly 2 times.,Modiwl Methwyd. Fe wnaethoch chi ateb y cwestiwn yn anghywir 2 waith.
You must complete the module within 10 minutes.,Rhaid i chi gwblhau'r modiwl o fewn 10 munud.
Congratulations. You have passed this module.,Llongyfarchiadau. Rydych chi wedi pasio'r modiwl hwn.
Congratulations. You have passed all modules!,Llongyfarchiadau. Rydych chi wedi pasio pob modiwl!
Please click here to download your certificate,Cliciwch yma i lawrlwytho'ch tystysgrif
